PMID	DOI	dateOfCreation	firstIndexDate	fullTextReceivedDate	dateOfRevision	electronicPublicationDate	firstPublicationDate	ML_Check	Affs
28002544	10.1001/jamapsychiatry.2016.3578	2016	2016	2018	2018		2017	True	Virginia Institute for Psychiatric and Behavioral Genetics, Department of Psychiatry, Virginia Commonwealth University, Richmond. /// Wellcome Trust Sanger Institute, Hinxton, United Kingdom3European Bioinformatics Institute, Hinxton, United Kingdom. /// Wellcome Trust Centre for Human Genetics, University of Oxford, Oxford, England. /// A.A. Kharkevich Institute for Information Transmission Problems RAS, Moscow, Russia.
28524227	10.1002/1873-3468.12684	2017	2017	2017	2018	2017	2017	True	Wellcome Trust Sanger Institute, Cambridge, UK. /// The European Bioinformatics Institute (EMBL-EBI), Cambridge, UK.
29046882	10.1002/acn3.449	2017	2017	2017	2018	2017	2017	True	Division of Brain Sciences Imperial College Charing Cross Hospital Campus Fulham Palace Road London W6 8RF United Kingdom. /// European Bioinformatics Institute EMBL-EBI Hinxton Cambridge CB10 1SD United Kingdom.
29206283	10.1002/bies.201700155	2017	2017	2019	2019	2017	2017	True	European Molecular Biology Laboratory European Bioinformatics Institute Wellcome Genome Campus, Hinxton, Cambridge CB10 1SD, UK.
28902400	10.1002/cpbi.30	2017	2017		2020	2017	2017	True	European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Trust Genome Campus, Hinxton, Cambridge, United Kingdom.
29220076	10.1002/cpbi.40	2017	2017		2018	2017	2017	True	European Molecular Biology Laboratory, The European Bioinformatics Institute (EMBL-EBI), Wellcome Genome Campus, Hinxton, Cambridge, United Kingdom.
28944551	10.1002/gepi.22077	2017	2017	2017	2019	2017	2017	True	MRC Biostatistics Unit, Cambridge, United Kingdom. /// Department of Public Health and Primary Care, University of Cambridge, Cambridge, United Kingdom.
28440912	10.1002/humu.23235	2017	2017	2018	2018	2017	2017	True	Department of Computer Science, University of Bristol, Bristol, UK. /// Protein Structure and Bioinformatics Group, Department of Experimental Medical Science, Lund University, Lund, Sweden. /// EMBL-EBI, Wellcome Trust Genome Campus, Hinxton, Cambridge, UK.
28944233	10.1002/mgg3.304	2017	2017	2017	2019	2017	2017	True	Nottingham Regional Genetics ServiceNottingham University Hospitals NHS TrustCity Hospital Campus, The Gables, Hucknall RoadNottinghamNG5 1PBUK. /// European Bioinformatics Institute (EMBL-EBI)Wellcome Genome Campus, HinxtonCambridgeCB10 1SDUK. /// Northern Ireland Regional Genetics CentreBelfast Health and Social Care TrustBelfast City HospitalLisburn RoadBelfastBT9 7ABUK. /// West of Scotland Genetics ServiceQueen Elizabeth University HospitalLaboratory Medicine BuildingGlasgowG51 4TFUK. /// Yorkshire Regional Genetics ServiceDepartment of Clinical GeneticsLeeds Teaching Hospitals NHS TrustChapel Allerton HospitalChapeltown RoadLeedsLS7 4SAUK. /// Wellcome Trust Sanger InstituteWellcome Genome Campus, HinxtonCambridgeCB1 8RQUK.
28792687	10.1002/pmic.201700244	2017	2017	2017	2018		2017	True	European Molecular Biology Laboratory, European Bioinformatics Institute (EMBL-EBI), Wellcome Trust Genome Campus, Hinxton, Cambridge, UK.
